project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	sample_name	sample_host	sample_age	sample_age_doi	singlegenome_domain	singlegenome_species	material	genome_type	collection_date	archive	data_type	archive_accession
Muhlemann2018b	2018	10.1073/pnas.1804921115	Tian Shan	41.501	75.794	Kyrgyzstan	DA66	Homo sapiens	1500	10.1073/pnas.1804921115	virus	Parvovirus B19	unknown	chromosome	NA	ENA	reference_aligned,consensus	ERS2484289
Muhlemann2018b	2018	10.1073/pnas.1804921115	Lake Baikal (Shamanka II)	51.698	103.703	Russia	DA337	Homo sapiens	4000	10.1073/pnas.1804921115	virus	Parvovirus B19	unknown	chromosome	NA	ENA	reference_aligned,consensus	ERS2484292
Muhlemann2018b	2018	10.1073/pnas.1804921115	Gotland	57.63	18.28	Sweden	VK477	Homo sapiens	1000	10.1073/pnas.1804921115	virus	Parvovirus B19	tooth	chromosome	NA	ENA	reference_aligned,consensus	ERS2484298
Muhlemann2018b	2018	10.1073/pnas.1804921115	Brandýsek	50.18	14.15	Czech Republic	RISE569	Homo sapiens	1300	10.1073/pnas.1804921115	virus	Parvovirus B19	tooth	chromosome	NA	ENA	reference_aligned,consensus	ERS2484294
Muhlemann2018b	2018	10.1073/pnas.1804921115	Bazaiha, Krasnoyarsk	55.951	92.784	Russia	NEO105	Homo sapiens	500	10.1073/pnas.1804921115	virus	Parvovirus B19	tooth	chromosome	NA	ENA	reference_aligned,consensus	ERS2484293
Muhlemann2018b	2018	10.1073/pnas.1804921115	Lake Baikal (Shamanka II)	51.698	103.703	Russia	DA251	Homo sapiens	6900	10.1073/pnas.1804921115	virus	Parvovirus B19	tooth	chromosome	NA	ENA	reference_aligned,consensus	ERS2484290
Muhlemann2018b	2018	10.1073/pnas.1804921115	Eastern Settlement	60.99	-45.42	Greenland	VK6	Homo sapiens	1000	10.1073/pnas.1804921115	virus	Parvovirus B19	tooth	chromosome	NA	ENA	reference_aligned,consensus	ERS2484295
Muhlemann2018b	2018	10.1073/pnas.1804921115	Bodzia	52.703	18.887	Poland	VK154	Homo sapiens	1000	10.1073/pnas.1804921115	virus	Parvovirus B19	tooth	chromosome	NA	ENA	reference_aligned,consensus	ERS2484297
Muhlemann2018b	2018	10.1073/pnas.1804921115	Oxford	51.756	-1.257	United Kingdom	VK143	Homo sapiens	1100	10.1073/pnas.1804921115	virus	Parvovirus B19	tooth	chromosome	NA	ENA	reference_aligned,consensus	ERS2484296
Muhlemann2018b	2018	10.1073/pnas.1804921115	Lake Baikal (Shamanka II)	51.698	103.703	Russia	DA336	Homo sapiens	4100	10.1073/pnas.1804921115	virus	Parvovirus B19	unknown	chromosome	NA	ENA	reference_aligned,consensus	ERS2484291
Wagner2014	2014	10.1016/S1473-3099(13)70323-2	Aschheim-Bajuwarenring	48.172	11.715	Germany	A120	Homo sapiens	1400	10.1016/S1473-3099(13)70323-2	bacteria	Yersinia pestis	tooth	chromosome	NA	SRA	raw	SRS514388,SRS514389,SRS514393,SRS514395,SRS514397,SRS514398,SRS514399,SRS514400,SRS514401,SRS514402,SRS514403,SRS514404,SRS514423,SRS514424,SRS514425,SRS514426,SRS514427,SRS514429,SRS514430,SRS514431,SRS514435,SRS514436,SRS514437,SRS514438,SRS514439,SRS514440,SRS514441,SRS514442,SRS514507,SRS514506,SRS514505,SRS514444
Wagner2014	2014	10.1016/S1473-3099(13)70323-2	Aschheim-Bajuwarenring	48.172	11.715	Germany	A76	Homo sapiens	1400	10.1016/S1473-3099(13)70323-2	bacteria	Yersinia pestis	tooth	chromosome	NA	SRA	raw	SRS514391,SRS514392,SRS514432,SRS514443,SRS514508
Bos2011	2011	10.1038/nature10549	East Smithfield Cemetery	51.508	-0.069	United Kingdom	ES_11972	Homo sapiens	600	10.1038/nature10549	bacteria	Yersinia pestis	tooth	chromosome	NA	SRA	raw	SRS259946
Bos2011	2011	10.1038/nature10549	East Smithfield Cemetery	51.508	-0.069	United Kingdom	ES_6330	Homo sapiens	600	10.1038/nature10549	bacteria	Yersinia pestis	tooth	chromosome	NA	SRA	raw	SRS259944
Bos2011	2011	10.1038/nature10549	East Smithfield Cemetery	51.508	-0.069	United Kingdom	ES_8124	Homo sapiens	600	10.1038/nature10549	bacteria	Yersinia pestis	tooth	chromosome	NA	SRA	raw	SRS259947
Bos2011	2011	10.1038/nature10549	East Smithfield Cemetery	51.508	-0.069	United Kingdom	ES_8291	Homo sapiens	600	10.1038/nature10549	bacteria	Yersinia pestis	tooth	chromosome	NA	SRA	raw	SRS259945
Bos2016	2016	10.7554/eLife.12994.001	Observance	43.301	5.367	France	OBS107	Homo sapiens	200	10.7554/eLife.12994.001	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1020860
Bos2016	2016	10.7554/eLife.12994.001	Observance	43.301	5.367	France	OBS110	Homo sapiens	200	10.7554/eLife.12994.001	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1020861
Bos2016	2016	10.7554/eLife.12994.001	Observance	43.301	5.367	France	OBS116	Homo sapiens	200	10.7554/eLife.12994.001	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1020862
Bos2016	2016	10.7554/eLife.12994.001	Observance	43.301	5.367	France	OBS124	Homo sapiens	200	10.7554/eLife.12994.001	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1020863
Bos2016	2016	10.7554/eLife.12994.001	Observance	43.301	5.367	France	OBS137	Homo sapiens	200	10.7554/eLife.12994.001	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1020864
PattersonRoss2018	2018	10.1371/journal.ppat.1006750	Sacristy of the Basilica of St. Domenico Maggiore	40.848	14.254	Italy	NASD24	Homo sapiens	400	10.1371/journal.ppat.1006750	virus	Hepatitis B virus	tissue	chromosome	NA	GenBank	consensus	MG585269
Vagene2018	2018	10.1038/s41559-017-0446-6	Teposcolula-Yucundaa	17.499	-97.467	Mexico	Tepos_10	Homo sapiens	400	10.1038/s41559-017-0446-6	bacteria	Salmonella enterica	tooth	chromosome	NA	ENA	raw	ERS2020211
Vagene2018	2018	10.1038/s41559-017-0446-6	Teposcolula-Yucundaa	17.499	-97.467	Mexico	Tepos_11	Homo sapiens	400	10.1038/s41559-017-0446-6	bacteria	Salmonella enterica	tooth	chromosome	NA	ENA	raw	ERS2020212
Vagene2018	2018	10.1038/s41559-017-0446-6	Teposcolula-Yucundaa	17.499	-97.467	Mexico	Tepos_14	Homo sapiens	400	10.1038/s41559-017-0446-6	bacteria	Salmonella enterica	tooth	chromosome	NA	ENA	raw	ERS2020215
Vagene2018	2018	10.1038/s41559-017-0446-6	Teposcolula-Yucundaa	17.499	-97.467	Mexico	Tepos_20	Homo sapiens	400	10.1038/s41559-017-0446-6	bacteria	Salmonella enterica	tooth	chromosome	NA	ENA	raw	ERS2020221
Vagene2018	2018	10.1038/s41559-017-0446-6	Teposcolula-Yucundaa	17.499	-97.467	Mexico	Tepos_34	Homo sapiens	400	10.1038/s41559-017-0446-6	bacteria	Salmonella enterica	tooth	chromosome	NA	ENA	raw	ERS2020226
Vagene2018	2018	10.1038/s41559-017-0446-6	Teposcolula-Yucundaa	17.499	-97.467	Mexico	Tepos_35	Homo sapiens	400	10.1038/s41559-017-0446-6	bacteria	Salmonella enterica	tooth	chromosome	NA	ENA	raw	ERS2020227
Vagene2018	2018	10.1038/s41559-017-0446-6	Teposcolula-Yucundaa	17.499	-97.467	Mexico	Tepos_36	Homo sapiens	400	10.1038/s41559-017-0446-6	bacteria	Salmonella enterica	tooth	chromosome	NA	ENA	raw	ERS2020228
Vagene2018	2018	10.1038/s41559-017-0446-6	Teposcolula-Yucundaa	17.499	-97.467	Mexico	Tepos_37	Homo sapiens	400	10.1038/s41559-017-0446-6	bacteria	Salmonella enterica	tooth	chromosome	NA	ENA	raw	ERS2020229
Vagene2018	2018	10.1038/s41559-017-0446-6	Teposcolula-Yucundaa	17.499	-97.467	Mexico	Tepos_38	Homo sapiens	400	10.1038/s41559-017-0446-6	bacteria	Salmonella enterica	tooth	chromosome	NA	ENA	raw	ERS2020230
Vagene2018	2018	10.1038/s41559-017-0446-6	Teposcolula-Yucundaa	17.499	-97.467	Mexico	Tepos_41	Homo sapiens	400	10.1038/s41559-017-0446-6	bacteria	Salmonella enterica	tooth	chromosome	NA	ENA	raw	ERS2020231
deDios2020	2020	10.1016/j.meegid.2020.104209	Musées Royaux des Beaux-Arts de Belgique	50.842	4.358	Belgium	Jean-Paul Marat	Homo sapiens	200	10.1016/j.meegid.2020.104209	eukaryota	Malassezia restricta	blood	chromosome	NA	ENA	raw	ERS4278128,ERS4278129,ERS4278130
deDios2020	2020	10.1016/j.meegid.2020.104209	Musées Royaux des Beaux-Arts de Belgique	50.842	4.358	Belgium	Jean-Paul Marat	Homo sapiens	200	10.1016/j.meegid.2020.104209	eukaryota	Cutibacterium acnes	blood	chromosome	NA	ENA	raw	ERS4278128,ERS4278129,ERS4278130
Zhou2018	2018	10.1016/j.cub.2018.05.058	St. Olav's Cathedral	63.425	10.392	Norway	SK152	Homo sapiens	800	10.1016/j.cub.2018.05.058	bacteria	Salmonella enterica	tooth	chromosome	NA	UCPH ERDA	raw	E56xgi8CEl
Sabin2020	2020	10.1186/s13059-020-02112-1	Lund Cathedral	55.704	13.193	Sweden	Bishop Peder Winstrup	Homo sapiens	300	10.1186/s13059-020-02112-1	bacteria	Mycobacterium tuberculosis	calcified nodule	chromosome	NA	SRA	raw	SRS6462469
Kay2014	2014	10.1128/mBio.01337-14	Geridu, Sardinia	40.78	8.574	Italy	2568	Homo sapiens	600	10.1128/mBio.01337-14	bacteria	Brucella melitensis	calcified nodule	chromosome	NA	ENA	raw	ERS430636
Devault2014	2014	10.1056/NEJMoa1308663	Mütter Museum, College of Physicians of Philadelphia	39.953	-75.176	USA	3090.13	Homo sapiens	100	10.1056/NEJMoa1308663	bacteria	Vibrio cholerae	intestine	chromosome	NA	SRA	raw	SRS480102
Kay2015	2015	10.1038/ncomms7717	Dominican church of Vác	47.777	19.127	Hungary	body_121	Homo sapiens	200	10.1038/ncomms7717	bacteria	Mycobacterium tuberculosis	bone	chromosome	NA	ENA	raw	ERS563413, ERS563414, ERS563415
Kay2015	2015	10.1038/ncomms7717	Dominican church of Vác	47.777	19.127	Hungary	body_68	Homo sapiens	200	10.1038/ncomms7717	bacteria	Mycobacterium tuberculosis	lung tissue	chromosome	NA	ENA	raw	ERS563404, ERS563405, ERS563406
Kay2015	2015	10.1038/ncomms7717	Dominican church of Vác	47.777	19.127	Hungary	body_78	Homo sapiens	200	10.1038/ncomms7717	bacteria	Mycobacterium tuberculosis	bone	chromosome	NA	ENA	raw	ERS563407
Kay2015	2015	10.1038/ncomms7717	Dominican church of Vác	47.777	19.127	Hungary	body_28	Homo sapiens	200	10.1038/ncomms7717	bacteria	Mycobacterium tuberculosis	abdomen	chromosome	NA	ENA	raw	ERS563385, ERS563386, ERS563387
Kay2015	2015	10.1038/ncomms7717	Dominican church of Vác	47.777	19.127	Hungary	body_25	Homo sapiens	200	10.1038/ncomms7717	bacteria	Mycobacterium tuberculosis	abdomen	chromosome	NA	ENA	raw	ERS563382, ERS563383
Kay2015	2015	10.1038/ncomms7717	Dominican church of Vác	47.777	19.127	Hungary	body_80	Homo sapiens	100	10.1038/ncomms7717	bacteria	Mycobacterium tuberculosis	thoracic segment of trunk	chromosome	NA	ENA	raw	ERS563408
Kay2015	2015	10.1038/ncomms7717	Dominican church of Vác	47.777	19.127	Hungary	body_23	Homo sapiens	200	10.1038/ncomms7717	bacteria	Mycobacterium tuberculosis	abdomen	chromosome	NA	ENA	raw	ERS563378, ERS563379
Kay2015	2015	10.1038/ncomms7717	Dominican church of Vác	47.777	19.127	Hungary	body_92	Homo sapiens	200	10.1038/ncomms7717	bacteria	Mycobacterium tuberculosis	thoracic segment of trunk	chromosome	NA	ENA	raw	ERS563409
vanDorp2020	2020	10.1093/molbev/msz264	Sant Jaume d’Enveja	40.705	0.727	Spain	Ebro-1944	Homo sapiens	100	10.1093/molbev/msz264	eukaryota	Plasmodium vivax	blood	chromosome	NA	ENA	raw	ERS3037135,ERS3037137,ERS3037139,ERS3037136,ERS3037140,ERS3037138,ERS3037141
Kerudin2019	2019	10.1016/j.jas.2019.105035	Hospital of  St  James and  St  Mary Magdalene	50.842	-0.759	United Kingdom	C21	Homo sapiens	400	10.1016/j.jas.2019.105035	bacteria	Mycobacterium leprae	bone	chromosome	NA	ENA	raw	ERS3908875
Kerudin2019	2019	10.1016/j.jas.2019.105035	Hospital of  St  James and  St  Mary Magdalene	50.842	-0.759	United Kingdom	C48	Homo sapiens	400	10.1016/j.jas.2019.105035	bacteria	Mycobacterium leprae	bone	chromosome	NA	ENA	raw	ERS3908876
Kerudin2019	2019	10.1016/j.jas.2019.105035	Raunds Furnells cemetary	52.349	-0.534	United Kingdom	R5046	Homo sapiens	800	10.1016/j.jas.2019.105035	bacteria	Mycobacterium leprae	bone	chromosome	NA	ENA	raw	ERS3908877
Worobey2016	2016	10.1038/nature19827	San Francisco Cohort	37.77	-122.42	USA	SF73	Homo sapiens	100	10.1038/nature19827	virus	Human immunodeficiency virus 1	blood	chromosome	NA	Dryad	consensus	10.5061/dryad.7mv7v
Worobey2016	2016	10.1038/nature19827	San Francisco Cohort	37.77	-122.42	USA	SF74	Homo sapiens	100	10.1038/nature19827	virus	Human immunodeficiency virus 1	blood	chromosome	NA	Dryad	consensus	10.5061/dryad.7mv7v
Worobey2016	2016	10.1038/nature19827	San Francisco Cohort	37.77	-122.42	USA	SF20	Homo sapiens	100	10.1038/nature19827	virus	Human immunodeficiency virus 1	blood	chromosome	NA	Dryad	consensus	10.5061/dryad.7mv7v
Worobey2016	2016	10.1038/nature19827	New York Cohort	40.69	-73.98	USA	NYC7	Homo sapiens	100	10.1038/nature19827	virus	Human immunodeficiency virus 1	blood	chromosome	NA	Dryad	consensus	10.5061/dryad.7mv7v
Worobey2016	2016	10.1038/nature19827	New York Cohort	40.69	-73.98	USA	NYC16	Homo sapiens	100	10.1038/nature19827	virus	Human immunodeficiency virus 1	blood	chromosome	NA	Dryad	consensus	10.5061/dryad.7mv7v
Worobey2016	2016	10.1038/nature19827	New York Cohort	40.69	-73.98	USA	NYC12	Homo sapiens	100	10.1038/nature19827	virus	Human immunodeficiency virus 1	blood	chromosome	NA	Dryad	consensus	10.5061/dryad.7mv7v
Worobey2016	2016	10.1038/nature19827	New York Cohort	40.69	-73.98	USA	NYC4	Homo sapiens	100	10.1038/nature19827	virus	Human immunodeficiency virus 1	blood	chromosome	NA	Dryad	consensus	10.5061/dryad.7mv7v
Worobey2016	2016	10.1038/nature19827	New York Cohort	40.69	-73.98	USA	Patient0 (PZconservative040513)	Homo sapiens	100	10.1038/nature19827	virus	Human immunodeficiency virus 1	blood	chromosome	NA	Dryad	consensus	10.5061/dryad.7mv7v
deDios2019	2019	10.1099/mgen.0.000289	Sant Jaume d’Enveja	40.705	0.727	Spain	Ebro-1944	Homo sapiens	100	10.1099/mgen.0.000289	eukaryota	Plasmodium falciparum	blood	chromosome	NA	ENA	raw	ERS3369379,ERS3369380,ERS3369382,ERS3369383
Schuenemann2011	2011	10.1073/pnas.1105107108	East Smithfield Cemetery	51.508	-0.069	United Kingdom	ES 1-5	Homo sapiens	600	10.1073/pnas.1105107108	bacteria	Yersinia pestis	tooth	organelle	NA	GenBank	consensus	HE576987
Duggan2020	2020	10.1186/s13059-020-02079-z	Mütter Museum, College of Physicians of Philadelphia	39.953	-75.176	USA	VK01	Homo sapiens	100	10.1186/s13059-020-02079-z	virus	Vaccinia virus	bodily fluid material	chromosome	NA	SRA	raw,consensus	SRS5298897
Duggan2020	2020	10.1186/s13059-020-02079-z	Mütter Museum, College of Physicians of Philadelphia	39.953	-75.176	USA	VK02	Homo sapiens	100	10.1186/s13059-020-02079-z	virus	Vaccinia virus	bodily fluid material	chromosome	NA	SRA	raw	SRS5298896
Duggan2020	2020	10.1186/s13059-020-02079-z	Mütter Museum, College of Physicians of Philadelphia	39.953	-75.176	USA	VK05	Homo sapiens	100	10.1186/s13059-020-02079-z	virus	Vaccinia virus	bodily fluid material	chromosome	NA	SRA	raw	SRS5298895
Duggan2020	2020	10.1186/s13059-020-02079-z	Mütter Museum, College of Physicians of Philadelphia	39.953	-75.176	USA	VK08	Homo sapiens	100	10.1186/s13059-020-02079-z	virus	Vaccinia virus	bodily fluid material	chromosome	NA	SRA	raw	SRS5298894
Duggan2020	2020	10.1186/s13059-020-02079-z	Mütter Museum, College of Physicians of Philadelphia	39.953	-75.176	USA	VK12	Homo sapiens	100	10.1186/s13059-020-02079-z	virus	Vaccinia virus	medical instrument	chromosome	NA	SRA	raw	SRS5298893
Namouchi2018	2018	10.1073/pnas.1812865115	Abbadia San Salvatore 	42.880	11.676	Italy	BSS31	Homo sapiens	600	10.1073/pnas.1812865115	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS2865269
Namouchi2018	2018	10.1073/pnas.1812865115	Saint-Laurent-de-la-Cabrerisse	43.087	2.720	France	SLC1006	Homo sapiens	600	10.1073/pnas.1812865115	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS2865271
Namouchi2018	2018	10.1073/pnas.1812865115	St Nicolay and St Clement	59.904	10.765	Norway	OSL1	Homo sapiens	600	10.1073/pnas.1812865115	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS2865270
Namouchi2018	2018	10.1073/pnas.1812865115	Bergen op Zoom	51.494	4.287	Netherlands	Ber45	Homo sapiens	600	10.1073/pnas.1812865115	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS2865268
Namouchi2018	2018	10.1073/pnas.1812865115	Bergen op Zoom	51.494	4.287	Netherlands	Ber37	Homo sapiens	600	10.1073/pnas.1812865115	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS2865267
Martin2013	2013	10.1038/ncomms3172	Audernade	50.86	3.63	Belgium	Pi1845A	Solanum tuberosum	100	10.1038/ncomms3172	eukaryota	Phytophthora infestans	leaf	chromosome	NA	SRA	raw	ERS258003
Martin2013	2013	10.1038/ncomms3172	Unknown	51.52	-0.13	United Kingdom	Pi1845B	Solanum tuberosum	100	10.1038/ncomms3172	eukaryota	Phytophthora infestans	leaf	chromosome	NA	SRA	raw	ERS258004
Martin2013	2013	10.1038/ncomms3172	Skårop	55.09	10.69	Denmark	Pi1876	Solanum tuberosum	100	10.1038/ncomms3172	eukaryota	Phytophthora infestans	leaf	chromosome	NA	SRA	raw	ERS258005
Martin2013	2013	10.1038/ncomms3172	Stockholm	59.33	18.07	Sweden	Pi1882	Solanum tuberosum	100	10.1038/ncomms3172	eukaryota	Phytophthora infestans	leaf	chromosome	NA	SRA	raw	ERS258006
Martin2013	2013	10.1038/ncomms3172	Unknown	50.11	8.65	Germany	Pi1889	Solanum tuberosum	100	10.1038/ncomms3172	eukaryota	Phytophthora infestans	leaf	chromosome	NA	SRA	raw	ERS258007

